央视频道,#genre#
CCTV1,http://125.78.15.129:4022/rtp/239.61.3.61:9884
CCTV2,http://125.78.15.129:4022/rtp/239.61.2.174:9032
CCTV3,http://125.78.15.129:4022/rtp/239.61.3.34:9722
CCTV4,http://125.78.15.129:4022/rtp/239.61.2.206:9224
CCTV5+,http://125.78.15.129:4022/rtp/239.61.2.171:9014
CCTV5,http://125.78.15.129:4022/rtp/239.61.3.35:9728
CCTV6,http://125.78.15.129:4022/rtp/239.61.3.36:9734
CCTV7,http://125.78.15.129:4022/rtp/239.61.2.175:9038
CCTV8,http://125.78.15.129:4022/rtp/239.61.3.37:9740
CCTV9,http://125.78.15.129:4022/rtp/239.61.2.172:9020
CCTV10,http://125.78.15.129:4022/rtp/239.61.2.176:9044
CCTV11,http://125.78.15.129:4022/rtp/239.61.2.21:8120
CCTV12,http://125.78.15.129:4022/rtp/239.61.2.177:9050
CCTV13,http://125.78.15.129:4022/rtp/239.61.2.23:8132
CCTV14,http://125.78.15.129:4022/rtp/239.61.2.178:9056
CCTV15,http://125.78.15.129:4022/rtp/239.61.2.25:8144
CCTV17,http://125.78.15.129:4022/rtp/239.61.3.9:9572
福建频道,#genre#
福建综合,http://125.78.15.129:4022/rtp/239.61.2.1:8000
福建综合,http://125.78.15.129:4022/rtp/239.61.3.4:9542
莆田一套,http://e2.woc.iiiya.cn:8888/udp/239.61.5.94:1025
东南卫视,http://125.78.15.129:4022/rtp/239.61.2.132:8708
东南卫视,http://219.147.3.106:4455/newlive/live/hls/29/live.m3u8
东南卫视,http://111.75.151.236:50085/newlive/live/hls/33/live.m3u8
东南卫视,http://125.210.152.19:9123/live/hzgq-fjwsgq-h264.m3u8
东南卫视,http://113.57.109.36:9901/tsfile/live/0137_1.m3u8
东南卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225766/1.m3u8
东南卫视,http://61.182.33.218:8000/hls/33/index.m3u8
东南卫视,http://iptv123.msns.cn:9901/tsfile/live/0137_1.m3u8
东南卫视,http://angtv.cc/test/lngd.php?id=483
东南卫视高清,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
东南卫视,http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000
福建体育,http://125.78.15.129:4022/rtp/239.61.2.160:8948
福建公共频道,http://125.78.15.129:4022/rtp/239.61.2.3:8012
福建教育频道,http://125.78.15.129:4022/rtp/239.61.2.173:9026
福建新闻,http://125.78.15.129:4022/rtp/239.61.2.4:8018
福建旅游,http://125.78.15.129:4022/rtp/239.61.2.6:8030
福建电视剧,http://125.78.15.129:4022/rtp/239.61.2.5:8024
福建经济生活,http://125.78.15.129:4022/rtp/239.61.2.7:8036
厦门卫视,http://125.78.15.129:4022/rtp/239.61.2.11:8060
厦门1套,http://125.78.15.129:4022/rtp/239.61.3.55:9848
厦门2套,http://125.78.15.129:4022/rtp/239.61.3.56:9854
厦门卫视[785*576],http://e2.woc.iiiya.cn:8888/udp/239.61.4.11:1025
泉州新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.98:1025
三明新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.93:1025
三沙卫视,http://e2.woc.iiiya.cn:8888/udp/239.61.5.191:1025
都市剧场高清,http://27.148.240.138/PLTV/88888888/224/3221226724/1.m3u8
福建电视剧,http://e2.woc.iiiya.cn:8888/udp/239.61.4.5:1025
福建公共,http://e2.woc.iiiya.cn:8888/udp/239.61.4.3:1025
福建交通广播HD,http://e2.woc.iiiya.cn:8888/udp/239.61.5.155:1025
福建教育,http://e2.woc.iiiya.cn:8888/udp/239.61.5.60:1025
福建经济HD,http://e2.woc.iiiya.cn:8888/udp/239.61.4.7:1025
福建旅游,http://e2.woc.iiiya.cn:8888/udp/239.61.4.6:1025
福建少儿,http://e2.woc.iiiya.cn:8888/udp/239.61.4.9:1025
福建体育,http://e2.woc.iiiya.cn:8888/udp/239.61.5.44:1025
福建新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.4.4:1025
福建综合,http://e2.woc.iiiya.cn:8888/udp/239.61.5.167:1025
福州新闻,http://e2.woc.iiiya.cn:8888/udp/239.61.5.97:1025
福建电视剧高清,http://27.148.240.138/PLTV/88888888/224/3221226732/1.m3u8
福建新闻高清,http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8
海峡卫视高清,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
福建文体高清,http://27.148.240.138/PLTV/88888888/224/3221226749/1.m3u8
漳州新闻综合,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
石狮综合,http://218.106.152.196/lsdream/MO13IYx/2000/live.m3u8?zfud
霞浦综合频道,http://218.106.152.196/lsdream/G7wCyZW/4000/live.m3u8?zfud
永安综合频道,http://218.106.152.196/lsdream/x6FnPrm/2000/live.m3u8?fujian
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian
建宁综合频道,https://p2.weizan.cn/2144741973/075444991326676404/live.m3u8?zfud
福建旅游高清,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
福建经济高清,http://27.148.240.138/PLTV/88888888/224/3221226920/1.m3u8
福建新罗,http://stream.lyxltv.com/xltv/sd/live.m3u8
港澳台频道,#genre#
凤凰卫视中文台,http://125.78.15.129:4022/rtp/239.61.2.184:9092
凤凰卫视资讯台,http://125.78.15.129:4022/rtp/239.61.2.183:9086
纬来体育,http://198.16.100.90:8278/videolandsport/playlist.m3u8?tid=MF0F9609085796090857&ct=19254&tsum=6bf853a68e195475b4892428199568c7
纬来体育,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8585/.m3u8
纬来体育,http://50.7.238.114:8278/videolandsport/playlist.m3u8?tid=MD2D5343800653438006&ct=19234&tsum=1be724fb8246abfedaf2bd088ec98f03
纬来体育,https://ktpremium.com:443/M919HR/5577/877061?c=
纬来体育,https://ktpremium.com:443/K3939/6757/877061
爱尔达体育,http://50.7.238.114:8278/eltasport2_twn/playlist.m3u8?tid=ME3E4844502848445028&ct=19317&tsum=035fc643389fcb4a6bf124bca1248aab
爱尔达体育,http://198.16.100.90:8278/eltasport2_twn/playlist.m3u8?tid=MCDC5093685750936857&ct=19225&tsum=592e009b281ea2abc43b21768cb1bec0
爱尔达体育,http://198.16.100.90:8278/eltasport_twn/playlist.m3u8?tid=md3567b35401611916221&ct=17874&tsum=be2a069324faa7f0737ca0d396d43745
爱尔达体育,http://198.16.100.90:8278/eltasport_twn/playlist.m3u8?tid=MF1F8884668388846683&ct=19249&tsum=b676f636b8ef285596dc6512fc4659d4
爱尔达体育,http://50.7.238.114:8278/eltasport_twn/playlist.m3u8?tid=MF1F8884668388846683&ct=19249&tsum=b676f636b8ef285596dc6512fc4659d4
爱尔达体育,http://50.7.238.114:8278/eltasport_twn/playlist.m3u8?tid=md3567b35401611916221&ct=17874&tsum=be2a069324faa7f0737ca0d396d43745
爱尔达体育,https://ktpremium.com:443/M919HR/5577/879250?c=
爱尔达体育,https://ktpremium.com:443/M919HR/5577/879251?c=
爱尔达体育,https://ktpremium.com:443/K3939/6757/879250
爱尔达体育,https://ktpremium.com:443/K3939/6757/879252
爱尔达体育,https://ktpremium.com:443/K3939/6757/879251
明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
